SettlementPoint,Year,Month,AveragePrice
HB_HUBAVG,2019,8,126.3498
HB_HUBAVG,2019,9,79.4592
HB_HUBAVG,2019,10,28.1318
HB_HUBAVG,2019,11,23.2572
HB_HUBAVG,2019,12,18.6234
HB_NORTH,2016,1,19.1333
HB_NORTH,2016,2,15.2927
HB_NORTH,2016,3,16.8594
HB_NORTH,2016,4,18.3507
HB_NORTH,2016,5,17.9056
HB_NORTH,2016,6,23.1581
HB_NORTH,2016,7,26.8008
HB_NORTH,2016,8,29.8284
HB_NORTH,2016,9,26.2492
HB_NORTH,2016,10,24.0053
HB_NORTH,2016,11,18.6649
HB_NORTH,2016,12,25.149
HB_NORTH,2017,1,22.9919
HB_NORTH,2017,2,19.4482
HB_NORTH,2017,3,21.2278
HB_NORTH,2017,4,21.4106
HB_NORTH,2017,5,23.4199
HB_NORTH,2017,6,25.8906
HB_NORTH,2017,7,30.6543
HB_NORTH,2017,8,26.8327
HB_NORTH,2017,9,23.3461
HB_NORTH,2017,10,21.4059
HB_NORTH,2017,11,21.5962
HB_NORTH,2017,12,20.953
HB_NORTH,2018,1,37.5859
HB_NORTH,2018,2,21.767
HB_NORTH,2018,3,22.608
HB_NORTH,2018,4,23.5229
HB_NORTH,2018,5,35.3061
HB_NORTH,2018,6,30.2119
HB_NORTH,2018,7,78.9685
HB_NORTH,2018,8,31.6031
HB_NORTH,2018,9,27.2996
HB_NORTH,2018,10,30.0342
HB_NORTH,2018,11,31.2349
HB_NORTH,2018,12,30.3983
HB_NORTH,2019,1,24.3326
HB_NORTH,2019,2,20.865
HB_NORTH,2019,3,28.1037
HB_NORTH,2019,4,22.9974
HB_NORTH,2019,5,23.9789
HB_NORTH,2019,6,25.1758
HB_NORTH,2019,7,29.7813
HB_NORTH,2019,8,126.5219
HB_NORTH,2019,9,79.9196
HB_NORTH,2019,10,27.996
HB_NORTH,2019,11,23.6286
HB_NORTH,2019,12,18.732
HB_PAN,2019,4,16.5488
HB_PAN,2019,5,16.4143
HB_PAN,2019,6,20.7313
HB_PAN,2019,7,28.3846
HB_PAN,2019,8,124.9917
HB_PAN,2019,9,72.8533
HB_PAN,2019,10,18.7168
HB_PAN,2019,11,11.6613
HB_PAN,2019,12,8.8172
HB_SOUTH,2016,1,19.2101
HB_SOUTH,2016,2,15.3336
HB_SOUTH,2016,3,16.7631
HB_SOUTH,2016,4,18.5129
HB_SOUTH,2016,5,18.5705
HB_SOUTH,2016,6,24.6454
HB_SOUTH,2016,7,26.9603
HB_SOUTH,2016,8,31.208
HB_SOUTH,2016,9,27.4056
HB_SOUTH,2016,10,26.6897
HB_SOUTH,2016,11,20.1488
HB_SOUTH,2016,12,25.709
HB_SOUTH,2017,1,23.6248
HB_SOUTH,2017,2,21.0794
HB_SOUTH,2017,3,23.6808
HB_SOUTH,2017,4,25.6094
HB_SOUTH,2017,5,26.495
HB_SOUTH,2017,6,29.6547
HB_SOUTH,2017,7,32.1295
HB_SOUTH,2017,8,28.315
HB_SOUTH,2017,9,25.5151
HB_SOUTH,2017,10,25.5637
HB_SOUTH,2017,11,23.9772
HB_SOUTH,2017,12,21.9979
HB_SOUTH,2018,1,39.4981
HB_SOUTH,2018,2,22.3064
HB_SOUTH,2018,3,22.8885
HB_SOUTH,2018,4,24.4719
HB_SOUTH,2018,5,34.2261
HB_SOUTH,2018,6,30.0686
HB_SOUTH,2018,7,78.8474
HB_SOUTH,2018,8,31.6675
HB_SOUTH,2018,9,27.1898
HB_SOUTH,2018,10,29.7725
HB_SOUTH,2018,11,29.8372
HB_SOUTH,2018,12,30.0893
HB_SOUTH,2019,1,25.0861
HB_SOUTH,2019,2,22.1256
HB_SOUTH,2019,3,27.1356
HB_SOUTH,2019,4,22.4633
HB_SOUTH,2019,5,24.0599
HB_SOUTH,2019,6,23.9044
HB_SOUTH,2019,7,29.6375
HB_SOUTH,2019,8,125.9365
HB_SOUTH,2019,9,78.9005
HB_SOUTH,2019,10,29.4684
HB_SOUTH,2019,11,23.7186
HB_SOUTH,2019,12,18.9525
HB_WEST,2016,1,19.1266
HB_WEST,2016,2,14.9887
HB_WEST,2016,3,15.8717
HB_WEST,2016,4,16.8628
HB_WEST,2016,5,17.3377
HB_WEST,2016,6,23.1419
HB_WEST,2016,7,26.5436
HB_WEST,2016,8,29.7867
HB_WEST,2016,9,26.3542
HB_WEST,2016,10,24.1139
HB_WEST,2016,11,18.7784
HB_WEST,2016,12,24.8627
HB_WEST,2017,1,21.9017
HB_WEST,2017,2,17.6167
HB_WEST,2017,3,19.8136
HB_WEST,2017,4,19.9961
HB_WEST,2017,5,22.1666
HB_WEST,2017,6,25.3317
HB_WEST,2017,7,30.2936
HB_WEST,2017,8,26.817
HB_WEST,2017,9,22.6788
HB_WEST,2017,10,21.6938
HB_WEST,2017,11,21.0018
HB_WEST,2017,12,20.338
HB_WEST,2018,1,36.0516
HB_WEST,2018,2,21.0876
HB_WEST,2018,3,20.3336
HB_WEST,2018,4,17.1566
HB_WEST,2018,5,27.692
HB_WEST,2018,6,28.277
HB_WEST,2018,7,78.5176
HB_WEST,2018,8,31.5601
HB_WEST,2018,9,26.1396
HB_WEST,2018,10,28.7613
HB_WEST,2018,11,28.7152
HB_WEST,2018,12,29.944
HB_WEST,2019,1,23.8815
HB_WEST,2019,2,20.4912
HB_WEST,2019,3,25.6697
HB_WEST,2019,4,19.5519
HB_WEST,2019,5,22.7027
HB_WEST,2019,6,24.7086
HB_WEST,2019,7,29.4555
HB_WEST,2019,8,126.3153
HB_WEST,2019,9,78.4292
HB_WEST,2019,10,24.6681
HB_WEST,2019,11,21.6603
HB_WEST,2019,12,18.1364
LZ_AEN,2016,1,19.3247
LZ_AEN,2016,2,15.4483
LZ_AEN,2016,3,16.8551
LZ_AEN,2016,4,18.2561
LZ_AEN,2016,5,18.1249
LZ_AEN,2016,6,24.2375
LZ_AEN,2016,7,27.9761
LZ_AEN,2016,8,30.6995
LZ_AEN,2016,9,26.7109
LZ_AEN,2016,10,25.6229
LZ_AEN,2016,11,19.64
LZ_AEN,2016,12,25.8702
LZ_AEN,2017,1,23.4045
LZ_AEN,2017,2,20.6053
LZ_AEN,2017,3,22.997
LZ_AEN,2017,4,24.1181
LZ_AEN,2017,5,25.2938
LZ_AEN,2017,6,27.9166
LZ_AEN,2017,7,31.4014
LZ_AEN,2017,8,27.4656
LZ_AEN,2017,9,24.6288
LZ_AEN,2017,10,24.0199
LZ_AEN,2017,11,23.0194
LZ_AEN,2017,12,21.0629
LZ_AEN,2018,1,38.838
LZ_AEN,2018,2,21.9139
LZ_AEN,2018,3,22.2028
LZ_AEN,2018,4,22.1885
LZ_AEN,2018,5,33.1662
LZ_AEN,2018,6,30.2861
LZ_AEN,2018,7,78.9514
LZ_AEN,2018,8,31.7321
LZ_AEN,2018,9,27.1673
LZ_AEN,2018,10,30.31
LZ_AEN,2018,11,30.4681
LZ_AEN,2018,12,30.0948
LZ_AEN,2019,1,25.108
LZ_AEN,2019,2,21.5138
LZ_AEN,2019,3,27.7422
LZ_AEN,2019,4,23.2703
LZ_AEN,2019,5,24.6762
LZ_AEN,2019,6,24.4168
LZ_AEN,2019,7,29.7091
LZ_AEN,2019,8,126.5269
LZ_AEN,2019,9,80.1696
LZ_AEN,2019,10,29.2804
LZ_AEN,2019,11,24.408
LZ_AEN,2019,12,19.0517
LZ_CPS,2016,1,19.3538
LZ_CPS,2016,2,15.52
LZ_CPS,2016,3,16.8982
LZ_CPS,2016,4,19.0694
LZ_CPS,2016,5,18.4799
LZ_CPS,2016,6,24.9581
LZ_CPS,2016,7,27.968
LZ_CPS,2016,8,31.3066
LZ_CPS,2016,9,28.1302
LZ_CPS,2016,10,26.2503
LZ_CPS,2016,11,21.7147
LZ_CPS,2016,12,26.5964
LZ_CPS,2017,1,23.7726
LZ_CPS,2017,2,20.9195
LZ_CPS,2017,3,23.8615
LZ_CPS,2017,4,25.3379
LZ_CPS,2017,5,26.537
LZ_CPS,2017,6,30.416
LZ_CPS,2017,7,32.1153
LZ_CPS,2017,8,28.1376
LZ_CPS,2017,9,25.1367
LZ_CPS,2017,10,25.276
LZ_CPS,2017,11,23.5726
LZ_CPS,2017,12,22.0484
LZ_CPS,2018,1,41.3129
LZ_CPS,2018,2,22.5174
LZ_CPS,2018,3,25.2893
LZ_CPS,2018,4,26.5354
LZ_CPS,2018,5,36.0556
LZ_CPS,2018,6,30.7273
LZ_CPS,2018,7,79.1244
LZ_CPS,2018,8,31.8657
LZ_CPS,2018,9,27.513
LZ_CPS,2018,10,31.636
LZ_CPS,2018,11,32.0412
LZ_CPS,2018,12,30.3092
LZ_CPS,2019,1,26.7983
LZ_CPS,2019,2,24.1101
LZ_CPS,2019,3,29.3517
LZ_CPS,2019,4,25.3636
LZ_CPS,2019,5,26.2461
LZ_CPS,2019,6,26.3913
LZ_CPS,2019,7,30.6672
LZ_CPS,2019,8,127.6962
LZ_CPS,2019,9,82.4363
LZ_CPS,2019,10,33.5536
LZ_CPS,2019,11,25.5751
LZ_CPS,2019,12,19.9979
LZ_HOUSTON,2016,1,19.5639
LZ_HOUSTON,2016,2,15.488
LZ_HOUSTON,2016,3,17.2067
LZ_HOUSTON,2016,4,19.1289
LZ_HOUSTON,2016,5,19.904
LZ_HOUSTON,2016,6,29.9151
LZ_HOUSTON,2016,7,29.9119
LZ_HOUSTON,2016,8,33.5635
LZ_HOUSTON,2016,9,29.0327
LZ_HOUSTON,2016,10,28.5458
LZ_HOUSTON,2016,11,20.4377
LZ_HOUSTON,2016,12,25.7368
LZ_HOUSTON,2017,1,24.8274
LZ_HOUSTON,2017,2,23.5172
LZ_HOUSTON,2017,3,28.742
LZ_HOUSTON,2017,4,32.9671
LZ_HOUSTON,2017,5,32.3626
LZ_HOUSTON,2017,6,33.6689
LZ_HOUSTON,2017,7,34.7258
LZ_HOUSTON,2017,8,30.0315
LZ_HOUSTON,2017,9,27.41
LZ_HOUSTON,2017,10,31.3394
LZ_HOUSTON,2017,11,26.3396
LZ_HOUSTON,2017,12,21.9798
LZ_HOUSTON,2018,1,38.045
LZ_HOUSTON,2018,2,22.3758
LZ_HOUSTON,2018,3,23.9335
LZ_HOUSTON,2018,4,24.7283
LZ_HOUSTON,2018,5,35.533
LZ_HOUSTON,2018,6,31.8023
LZ_HOUSTON,2018,7,79.5665
LZ_HOUSTON,2018,8,32.1596
LZ_HOUSTON,2018,9,27.7224
LZ_HOUSTON,2018,10,31.7811
LZ_HOUSTON,2018,11,31.7303
LZ_HOUSTON,2018,12,30.4621
LZ_HOUSTON,2019,1,25.5501
LZ_HOUSTON,2019,2,21.6443
LZ_HOUSTON,2019,3,28.0803
LZ_HOUSTON,2019,4,24.2646
LZ_HOUSTON,2019,5,25.1536
LZ_HOUSTON,2019,6,27.2267
LZ_HOUSTON,2019,7,30.0131
LZ_HOUSTON,2019,8,126.6934
LZ_HOUSTON,2019,9,80.7793
LZ_HOUSTON,2019,10,30.6424
LZ_HOUSTON,2019,11,24.1816
LZ_HOUSTON,2019,12,18.9199
LZ_LCRA,2016,1,19.3175
LZ_LCRA,2016,2,15.4885
LZ_LCRA,2016,3,16.7963
LZ_LCRA,2016,4,18.3927
LZ_LCRA,2016,5,18.1828
LZ_LCRA,2016,6,24.1644
LZ_LCRA,2016,7,27.5922
LZ_LCRA,2016,8,31.1756
LZ_LCRA,2016,9,27.0399
LZ_LCRA,2016,10,26.0684
LZ_LCRA,2016,11,19.5417
LZ_LCRA,2016,12,25.4879
LZ_LCRA,2017,1,23.4363
LZ_LCRA,2017,2,20.6608
LZ_LCRA,2017,3,23.4371
LZ_LCRA,2017,4,24.4774
LZ_LCRA,2017,5,25.638
LZ_LCRA,2017,6,28.6391
LZ_LCRA,2017,7,31.9057
LZ_LCRA,2017,8,27.678
LZ_LCRA,2017,9,24.8134
LZ_LCRA,2017,10,24.4843
LZ_LCRA,2017,11,23.0471
LZ_LCRA,2017,12,21.1177
LZ_LCRA,2018,1,38.9926
LZ_LCRA,2018,2,21.7622
LZ_LCRA,2018,3,22.0513
LZ_LCRA,2018,4,22.644
