SettlementPoint,NodeType,YearMonth,AvgPrice
HB_HUBAVG,Hub,2018-04,22.4503
HB_HUBAVG,Hub,2018-05,32.8349
HB_HUBAVG,Hub,2018-06,29.7819
HB_HUBAVG,Hub,2018-07,78.8323
HB_HUBAVG,Hub,2018-08,31.6946
HB_HUBAVG,Hub,2018-09,27.053
HB_HUBAVG,Hub,2018-10,29.8891
HB_HUBAVG,Hub,2018-11,30.2772
HB_HUBAVG,Hub,2018-12,30.192
HB_HUBAVG,Hub,2019-01,24.6834
HB_HUBAVG,Hub,2019-02,21.2506
HB_HUBAVG,Hub,2019-03,27.189
HB_HUBAVG,Hub,2019-04,22.2212
HB_HUBAVG,Hub,2019-05,23.8838
HB_HUBAVG,Hub,2019-06,25.1715
HB_HUBAVG,Hub,2019-07,29.6962
HB_HUBAVG,Hub,2019-08,126.3498
HB_HUBAVG,Hub,2019-09,79.4592
HB_HUBAVG,Hub,2019-10,28.1318
HB_HUBAVG,Hub,2019-11,23.2572
HB_HUBAVG,Hub,2019-12,18.6234
HB_NORTH,Hub,2016-01,19.1333
HB_NORTH,Hub,2016-02,15.2927
HB_NORTH,Hub,2016-03,16.8594
HB_NORTH,Hub,2016-04,18.3507
HB_NORTH,Hub,2016-05,17.9056
HB_NORTH,Hub,2016-06,23.1581
HB_NORTH,Hub,2016-07,26.8008
HB_NORTH,Hub,2016-08,29.8284
HB_NORTH,Hub,2016-09,26.2492
HB_NORTH,Hub,2016-10,24.0053
HB_NORTH,Hub,2016-11,18.6649
HB_NORTH,Hub,2016-12,25.149
HB_NORTH,Hub,2017-01,22.9919
HB_NORTH,Hub,2017-02,19.4482
HB_NORTH,Hub,2017-03,21.2278
HB_NORTH,Hub,2017-04,21.4106
HB_NORTH,Hub,2017-05,23.4199
HB_NORTH,Hub,2017-06,25.8906
HB_NORTH,Hub,2017-07,30.6543
HB_NORTH,Hub,2017-08,26.8327
HB_NORTH,Hub,2017-09,23.3461
HB_NORTH,Hub,2017-10,21.4059
HB_NORTH,Hub,2017-11,21.5962
HB_NORTH,Hub,2017-12,20.953
HB_NORTH,Hub,2018-01,37.5859
HB_NORTH,Hub,2018-02,21.767
HB_NORTH,Hub,2018-03,22.608
HB_NORTH,Hub,2018-04,23.5229
HB_NORTH,Hub,2018-05,35.3061
HB_NORTH,Hub,2018-06,30.2119
HB_NORTH,Hub,2018-07,78.9685
HB_NORTH,Hub,2018-08,31.6031
HB_NORTH,Hub,2018-09,27.2996
HB_NORTH,Hub,2018-10,30.0342
HB_NORTH,Hub,2018-11,31.2349
HB_NORTH,Hub,2018-12,30.3983
HB_NORTH,Hub,2019-01,24.3326
HB_NORTH,Hub,2019-02,20.865
HB_NORTH,Hub,2019-03,28.1037
HB_NORTH,Hub,2019-04,22.9974
HB_NORTH,Hub,2019-05,23.9789
HB_NORTH,Hub,2019-06,25.1758
HB_NORTH,Hub,2019-07,29.7813
HB_NORTH,Hub,2019-08,126.5219
HB_NORTH,Hub,2019-09,79.9196
HB_NORTH,Hub,2019-10,27.996
HB_NORTH,Hub,2019-11,23.6286
HB_NORTH,Hub,2019-12,18.732
HB_PAN,Hub,2019-04,16.5488
HB_PAN,Hub,2019-05,16.4143
HB_PAN,Hub,2019-06,20.7313
HB_PAN,Hub,2019-07,28.3846
HB_PAN,Hub,2019-08,124.9917
HB_PAN,Hub,2019-09,72.8533
HB_PAN,Hub,2019-10,18.7168
HB_PAN,Hub,2019-11,11.6613
HB_PAN,Hub,2019-12,8.8172
HB_SOUTH,Hub,2016-01,19.2101
HB_SOUTH,Hub,2016-02,15.3336
HB_SOUTH,Hub,2016-03,16.7631
HB_SOUTH,Hub,2016-04,18.5129
HB_SOUTH,Hub,2016-05,18.5705
HB_SOUTH,Hub,2016-06,24.6454
HB_SOUTH,Hub,2016-07,26.9603
HB_SOUTH,Hub,2016-08,31.208
HB_SOUTH,Hub,2016-09,27.4056
HB_SOUTH,Hub,2016-10,26.6897
HB_SOUTH,Hub,2016-11,20.1488
HB_SOUTH,Hub,2016-12,25.709
HB_SOUTH,Hub,2017-01,23.6248
HB_SOUTH,Hub,2017-02,21.0794
HB_SOUTH,Hub,2017-03,23.6808
HB_SOUTH,Hub,2017-04,25.6094
HB_SOUTH,Hub,2017-05,26.495
HB_SOUTH,Hub,2017-06,29.6547
HB_SOUTH,Hub,2017-07,32.1295
HB_SOUTH,Hub,2017-08,28.315
HB_SOUTH,Hub,2017-09,25.5151
HB_SOUTH,Hub,2017-10,25.5637
HB_SOUTH,Hub,2017-11,23.9772
HB_SOUTH,Hub,2017-12,21.9979
HB_SOUTH,Hub,2018-01,39.4981
HB_SOUTH,Hub,2018-02,22.3064
HB_SOUTH,Hub,2018-03,22.8885
HB_SOUTH,Hub,2018-04,24.4719
HB_SOUTH,Hub,2018-05,34.2261
HB_SOUTH,Hub,2018-06,30.0686
HB_SOUTH,Hub,2018-07,78.8474
HB_SOUTH,Hub,2018-08,31.6675
HB_SOUTH,Hub,2018-09,27.1898
HB_SOUTH,Hub,2018-10,29.7725
HB_SOUTH,Hub,2018-11,29.8372
HB_SOUTH,Hub,2018-12,30.0893
HB_SOUTH,Hub,2019-01,25.0861
HB_SOUTH,Hub,2019-02,22.1256
HB_SOUTH,Hub,2019-03,27.1356
HB_SOUTH,Hub,2019-04,22.4633
HB_SOUTH,Hub,2019-05,24.0599
