Month,DayOfWeek,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
1,Monday,0.7415636156355446,0.7160380273345687,0.7113391654421551,0.7455772268353145,0.8139554566655416,0.9224453252544453,1.5730174382025224,1.426765361801149,1.1844802954735727,1.1727820872205845,1.0710957790800715,0.9731294032710524,0.9244521308543303,0.8958918609145039,0.8722017655402519,0.8531126391023218,0.8850012695492744,1.3243938029679923,1.3984498242515524,1.1116479361411618,1.0317183374920846,0.9669866202762826,0.8847075906809985,0.7992470400127261
1,Tuesday,0.6128195526177463,0.5843110443843599,0.5903508078784901,0.6271871811344998,0.719432715729152,0.8622432327507722,1.6107410219499712,1.5309048307801192,1.2051080320609062,1.1469160445389612,1.0295220066581694,0.9599307385483268,0.9117775388135542,0.8665308464257863,0.8245410913488463,0.8320856423346882,0.8872886684004934,1.5048081052389282,1.6881448169003443,1.254291908159865,1.0946195258201608,0.9941079667847365,0.8686128126814421,0.7937238680596832
1,Wednesday,0.5502994635696057,0.5379407322535285,0.5401437425134107,0.5698765689287016,0.6823550856726212,1.0596479350033852,3.5246445497630328,3.548127701682204,1.588386021561377,0.8943284203947709,0.8447216290818186,0.7629758866725691,0.7239154210718192,0.6841831154627362,0.6453726368418311,0.6336076246028853,0.6583250872350398,0.942654028436019,1.0340086453830528,0.8361127024634133,0.7875996041872818,0.7206030935888755,0.6468569345346595,0.5833133690953596
1,Thursday,0.7176876972620545,0.6892310246401882,0.6940983155023213,0.7220569397568994,0.8211459262850686,1.065325457629101,2.032354278405264,1.7730974646696935,1.2514823541840776,1.1071162433569968,1.0112192940919011,0.9211404552992156,0.87642929505404,0.8454144649092853,0.800771220350558,0.8011787144692482,0.8434449100022825,1.2307227926930264,1.2974612739096227,1.0375479418717184,0.971398063271008,0.8888352271119419,0.8333028341593263,0.7675378111151566
1,Friday,0.783362470239749,0.7358657508131975,0.7458677597637131,0.7694109500626194,0.8405021521416696,0.9872752219462884,1.630558274525225,1.4361346082332775,1.1773903305364752,1.0894752364791218,1.0470821062350129,0.9668095728629255,0.906771872983035,0.8718674263634147,0.8383735194675852,0.8244989378208443,0.8790740020431452,1.311596773710959,1.3442700029493102,1.1024009095844036,1.0191790658807538,0.9827102024765657,0.8825105897338354,0.8270122631468714
1,Saturday,0.8620930131194698,0.7988057359543216,0.7669528832323583,0.7621932615612604,0.807932702785163,0.8906245913786338,1.0834938761277948,1.2076886196225427,1.4023100727890858,1.347129843525258,1.1658719435121823,1.0714379113455081,0.962568103560999,0.9043804210434555,0.8786209301311947,0.8641066992110883,0.8850019613825566,1.2033474262302226,1.3628732075142744,1.1221200366124742,1.0047770561827134,0.941437475482718,0.8915137514710367,0.8127184762236848
1,Sunday,0.8320877452456057,0.7547609387065952,0.7332958129916365,0.7430336505111057,0.7892098477808465,0.8502807481381621,1.0617907673782445,1.1725979346360744,1.2697930709527114,1.218355300184548,1.115270342787587,1.0384408989175817,0.9746737693546065,0.9322932345588525,0.89622135256469,0.8906980092404748,0.9182885488789708,1.2820177218172062,1.5271389866890044,1.169875528447836,1.0657696687302856,1.004855830268445,0.9103045691923092,0.8489457220266221
2,Monday,0.6896590520965182,0.6446868784280635,0.6391899222470014,0.6730717457255943,0.7640447632250418,0.933775340043799,1.535290217587849,1.3840114118096158,1.2049585116428585,1.1801739899142105,1.0963695176099493,1.0502722359512187,0.9989673115946398,0.9826371727643503,0.9397544853635508,0.9433869768750126,0.9422297229421575,1.1568360356016314,1.6745464408414201,1.1412773993932457,1.0095111807606534,0.9014686677515923,0.811235006931469,0.7026460128985597
2,Tuesday,0.5740962902510075,0.5390551835836502,0.5370393960476566,0.5975802150453342,0.6901048629474453,0.8897686183876219,1.3394908176678177,1.21390725417541,1.1317639120836664,1.1081791979125402,1.0705847603662575,1.0392728606404884,0.9946567631771611,1.0000993895243442,0.9716767852668328,0.9884078218155806,1.0116565713973746,1.2379959152305346,1.9499720729435117,1.2467645910121075,1.124070322987957,1.0223402453381414,0.9125134210854177,0.8090027311121408
2,Wednesday,0.6951329934641958,0.6416941507021463,0.6306310261377294,0.6546669812925636,0.7439622009910716,0.9115224417896362,1.4606287761967218,1.238016320303797,1.1024601184237244,1.0913969938593073,1.0705548574031292,1.0569564334593666,1.0322948849511873,1.0159306798663208,0.99525317323997,1.027718175681979,0.9849473458927601,1.1448687625873224,1.7191305349920705,1.202620906890856,1.1002211527380685,0.9497824142415778,0.8000021950643977,0.7296064798301021
2,Thursday,0.62127336511949,0.5983806579984733,0.5938755334192645,0.6250109499555745,0.6866477284577873,0.8978880142829135,1.7585336653777006,1.4431082022467223,1.1881515223566805,1.152744580293417,1.0987831992224488,1.0535317256712844,1.0052768357339807,0.9746753598885398,0.9464432458588311,0.9511819694902951,0.9763105532543268,1.1648249884243327,1.6532472353969305,1.1469379752802147,1.0251994977620376,0.9188785576927089,0.8114563649484622,0.7076382718675828
2,Friday,0.6495126935998905,0.610130709300046,0.6116454010038862,0.655635915381372,0.7271809277755249,0.859861475535312,1.6213969002532547,1.3380528691859608,1.2146538365475772,1.19908796222939,1.1197761264176738,1.0774614411593302,1.0163903607598168,1.0075278029181987,0.9850330197420191,0.9707562447462491,0.9835505555212394,1.201182748628318,1.5559106546744623,1.075495564692644,0.9904472368961712,0.923446299613539,0.8416207201231091,0.7642425332950185
2,Saturday,0.7902976946814303,0.7292385187874387,0.7178707569431838,0.7271623706661826,0.7668133962606644,0.853364948266473,0.9905268651297877,1.098044109638773,1.2522576692684697,1.372912506807043,1.2698198402613903,1.1035918497004902,1.033751588310038,1.0389589762207296,0.9923647667453258,0.9818819204937376,0.9778998003267381,1.1683948992557633,1.5731416772554,1.108016427663823,1.0138069522599382,0.9103739335632601,0.807247231802505,0.7222612996914141
2,Sunday,0.720497944860036,0.6550837911216745,0.6204016054554076,0.6433781004527046,0.6920128895479296,0.7403215138876725,0.9246046007350787,1.0191923798248979,1.1912986491343045,1.2462755306972375,1.1660390008486323,1.1033066462109018,1.0609777090549979,1.0354281365422306,1.007849094439797,0.996143403770827,1.0057109032649696,1.215905967909012,1.8243119584683545,1.2554081438507374,1.1163169959018002,1.0177789992178086,0.9039837400829304,0.8377722947200571
3,Monday,0.5439559537067151,0.49441701406340854,0.47728205987378747,0.501775583347295,0.5660579421629596,0.7448448951568132,1.269773691143765,1.229065034641122,1.0382941259563676,1.045468731008157,1.0459155012861072,1.04147407911119,0.9860220034361892,1.0054433702247323,1.0559809728422804,1.158081121656204,1.3075652005374383,1.3345816620511355,1.6920504456205017,1.545877722917016,1.3004168760902346,1.0043395848321492,0.8515441497731656,0.7597722785612684
