Month,DayOfWeek,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
1,Monday,0.7655122207235932,0.7313359556205169,0.7286045632311693,0.7499365120570657,0.8133003007917651,0.919350560669078,1.5208663705777117,1.3797143324736594,1.1605257366012223,1.1458981145491791,1.0530307733113615,0.9619693113392285,0.9216304832420046,0.8980637588248239,0.8809756262732857,0.8633683034328635,0.9012466210305926,1.313483710404686,1.3918814440262077,1.1376813638903154,1.0619924491673203,0.989531543631736,0.8984700816596028,0.8116298624710071
1,Tuesday,0.6208446204404496,0.5847002160388389,0.5861244364465701,0.6163025121130907,0.7061631213522396,0.8541858126476546,1.537195729263399,1.486193241689241,1.1906867533067413,1.125037890999023,1.0196263346051877,0.95565189358764,0.916505078596758,0.8834978083365009,0.8633277679675508,0.8736822352561913,0.928572459619021,1.486635904788941,1.649612910365534,1.259915412855514,1.115895935679127,1.0159310600337772,0.8960655911236425,0.8276452728873662
1,Wednesday,0.5779907024021287,0.5484536390678485,0.5505762417973363,0.571114665391112,0.6774690204636842,1.0455462712447123,3.438616421770131,3.467555568842584,1.5853899161422444,0.8979356941060406,0.8365894856425358,0.7619844840730057,0.7147789952017221,0.6863331290452773,0.6522817979341994,0.6434176893526062,0.6705481397330305,0.9476972749966368,1.0413758053184652,0.8598783240407182,0.8079642446075427,0.7440768920312711,0.6680966830595376,0.6043289137356315
1,Thursday,0.7266127962572393,0.6845120084046973,0.6871472605236596,0.7170415605611681,0.8037308142665521,1.0483454569571093,1.997731926342946,1.761297106229648,1.2690109283905373,1.1210362514065657,1.0096599558507426,0.9318673132989753,0.8813126366488025,0.8525146014927824,0.816885992844412,0.8159583840985373,0.846316488508983,1.1981331873989272,1.2678303354412421,1.038289334871149,0.9880087244413484,0.9020151772953704,0.8450094034579777,0.7897323550106243
1,Friday,0.7968611598252238,0.7399102339268199,0.7450940760336473,0.764497815295901,0.831483518116696,0.9811491246321672,1.6052314002912935,1.421965936450376,1.1712391879440003,1.0952887673513063,1.041215111613114,0.9730642332728947,0.922604999554142,0.8960437535297089,0.8678655292334215,0.8505781291799185,0.8893380495199595,1.3003834378622596,1.3143893231875874,1.0921737062687633,1.0225960823945546,0.9753708052195107,0.8778289688791131,0.8238266504176203
1,Saturday,0.8930351872683273,0.8239225274063866,0.7930895641959063,0.786913009368605,0.826761750189904,0.8930351872683273,1.0812457712599257,1.187691720178821,1.3774713483402585,1.326265716384889,1.1548165090012494,1.0617447937205025,0.957764485639925,0.8927114162491542,0.8647674867482182,0.8456400911539945,0.8671833166605094,1.169162055696917,1.333687544362856,1.1148432408648836,1.026030359759413,0.9725832361328456,0.9063347045174358,0.8432989776307432
1,Sunday,0.8454396776339925,0.7678330462468362,0.7376361069827313,0.7499984453799802,0.7825832809944593,0.850986561864549,1.0505002767223635,1.1523838543383225,1.2439198811026608,1.1927293530915173,1.094676359204283,1.0216714030756602,0.9543128268588592,0.9199370689815994,0.8900883646019239,0.8891680295502173,0.9210812693161536,1.2727238808290477,1.526960220382934,1.200390520548967,1.1009943349646478,1.0363967639029668,0.9302597459129038,0.8673287275124213
2,Monday,0.6823303203347247,0.6299501827371553,0.6163898425469214,0.6480010930993182,0.7236022054017325,0.8831060761796673,1.437721035637746,1.312191873397434,1.147724740850525,1.1286102743950102,1.0624629940334998,1.0381784632353033,1.0198912070746178,1.026213457185097,1.0095215351644387,1.0250021849676685,1.0099351403118535,1.1639735144989531,1.6449372144924288,1.1549923741550945,1.048459505471036,0.9755763698516315,0.859116977629624,0.7521114173485202
2,Tuesday,0.6393856755483108,0.5747703622443855,0.5536645473297126,0.5885833919176781,0.6780127160217237,0.8510000540778566,1.2738579915484036,1.1487063804145454,1.075593118206469,1.0767055769721035,1.0489868127283823,1.0313110790077487,1.0214534582789336,1.046514682138084,1.04466058419536,1.061749186900798,1.0714522994677194,1.2331914433379942,1.8791900682153535,1.2318626731457087,1.1104501595296772,1.018641409732469,0.9137921710714367,0.8264641579691446
2,Wednesday,0.6963115398066816,0.636339214662605,0.6172101109528565,0.6412659472555767,0.7241384553780963,0.883162435184575,1.422426770607884,1.2190926093942451,1.0783157873395137,1.0622887004475623,1.044710605146712,1.0400271679904305,1.022418660759994,1.0249732628452386,1.0277407484375871,1.0628665271097009,1.0258856207328262,1.156444034446579,1.6810498198093171,1.2019402811076025,1.0981139535001596,0.9910335494269886,0.8596236016848208,0.7826205959724469
